Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,,,,Chopper/Cruiser,,,2,Gasoline,,Used,"15,000 km",Yes,,,,,TriumphBonneville Bobber,Electric Starter,,,,59 kW (80 hp),2018-09-01,"1,200 cc",Immobilizer,,1,,,,,"€ 11,350.-"
,,,,,Chopper/Cruiser,,Manual,2,Gasoline,5,Antique / Classic,"48,000 km",Yes,,,Aug-21,,YamahaXV 750,"Cover panel
Electric Starter
Topcase",,,,40 kW (54 hp),1992-05-01,750 cc,,Blue,,,,,,"€ 2,000.-"
,,,,,Moped,,Automatic,,Gasoline,1,Used,"1,649 km",,,,,,A.T.U,"Electric Starter
Kickstarter",,,,2 kW (3 hp),2014-03-01,49 cc,,Orange,1,,,,,€ 450.-
,,,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,49 km,Yes,,,,,KymcoSuper 8,"Cover panel
Electric Starter",,,,3 kW (4 hp),2022-05-01,49 cc,,Red,1,,,,,"€ 2,550.-"
,,Jun-24,,,Naked Bike,,,,Gasoline,,Used,"1,050 km",Yes,,,Apr-21,,YamahaMT-07,,,,,35 kW (48 hp),2016-06-01,,ABS,Grey,1,,,,,"€ 5,000.-"
218 kg,,May-23,,,Naked Bike,,Manual,2,Gasoline,6,Used,"10,500 km",Yes,,,May-22,,Moto GuzziV 7,Crash bar,,,,34 kW (46 hp),2018-05-01,744 cc,ABS,Grey,2,,,,,"€ 7,200.-"
207 kg,,May-24,,,Supersport,,Manual,2,Gasoline,6,Used,830 km,Yes,,,,,HondaCBR 650,Electric Starter,,Euro 4,,35 kW (48 hp),2020-05-01,650 cc,"ABS
Immobilizer
Traction control",Black,1,,"5 l/100 km (comb.)
5.5 l/100 km (city)
4.5 l/100 km (country)",,,"€ 8,300.-"
,,,,,Others,,,,Gasoline,,Used,"52,000 km",Yes,,,,,Harley-DavidsonRoad King,"Crash bar
Electric Starter
Windshield",,,Catalytic Converter,70 kW (95 hp),2013-12-01,,"ABS
Alarm system
Immobilizer
Traction control",White,,,,,,"€ 20,000.-"
,,,,,Tourer,,,,Gasoline,,Used,"88,500 km",,,,,,BMWR 850 RT,Hot bar end,,,,54 kW (73 hp),1999-09-01,848 cc,ABS,,2,,,,,"€ 2,000.-"
,,Jul-22,,,Others,,,,Gasoline,,Used,"81,300 km",,,,,,YamahaX-Max 250,Topcase,,,,15 kW (20 hp),2006-07-01,,,Yellow,,,,,,€ 690.-
240 kg,,,,,Others,Metallic,Manual,2,Gasoline,5,Used,"46,000 km",,,,,,HondaVaradero,"Cover panel
Electric Starter
Topcase
Windshield",,,,69 kW (94 hp),2000-08-01,996 cc,ABS,Red,,,"6 l/100 km (comb.)
6 l/100 km (city)
6 l/100 km (country)",,,"€ 3,300.-"
,,,,,Touring Enduro,,,,Gasoline,,Used,"11,550 km",Yes,,,Jun-20,,KawasakiER - 6 F,"Cover panel
Electric Starter
Windshield",,,,53 kW (72 hp),2013-03-01,649 cc,ABS,Green,1,,,,,"€ 4,500.-"
96 kg,,,,,Motocrosser,,Manual,1,Gasoline,5,Used,50 km,,,,Jun-22,,HondaCRF 250,,,,,32 kW (44 hp),2012-01-01,250 cc,,,1,,,,,"€ 3,000.-"
,,Apr-24,,,Others,Metallic,,,Gasoline,,Used,"1,000 km",,,,,,BMWG 310 R,Electric Starter,,,,25 kW (34 hp),2022-04-01,,ABS,Grey,1,,,,,"€ 5,899.-"
,,Aug-22,,,Scooter,,Automatic,1,Gasoline,,Used,"24,083 km",,,,,,KymcoGrand Dink 125,"Electric Starter
Topcase
Windshield",,,,8 kW (11 hp),2007-09-01,125 cc,,Blue,3,,,"Bluetooth
MP3
Radio",,€ 650.-
,,,,,Others,,,,Gasoline,,Used,"24,499 km",,,,,,YamahaYZF-R1,,,,,74 kW (101 hp),2006-01-01,,,Black,,,,,,"€ 6,000.-"
175 kg,,May-24,,,Naked Bike,Metallic,Manual,1,Gasoline,5,Used,"9,250 km",Yes,,,May-22,,Royal EnfieldBullet 500,"Electric Starter
Kickstarter",,,Catalytic Converter,20 kW (27 hp),2013-07-01,500 cc,,Black,1,,,,,"€ 4,500.-"
,,Jun-24,,,Naked Bike,Metallic,,,Gasoline,,Used,"1,004 km",Yes,,,,,DucatiXDiavel,,,,,112 kW (152 hp),2018-06-01,"1,260 cc",,Black,2,,,,,"€ 14,800.-"
219 kg,,May-24,,,Tourer,Metallic,Manual,4,Gasoline,6,Used,"9,330 km",Yes,,,,,HondaCBF 600,"Crash bar
Electric Starter
Windshield",,,Catalytic Converter,57 kW (77 hp),2004-06-01,599 cc,ABS,Grey,1,,,,,"€ 3,300.-"
,,,,,Sport touring,,Manual,2,Gasoline,5,Used,"28,600 km",,,,,,HondaNC 750,"Crash bar
Electric Starter
Topcase
Windshield",,,,35 kW (48 hp),2016-08-01,,ABS,White,1,,,,,"€ 4,995.-"
201 kg,,Apr-24,,,Scooter,,Automatic,1,Gasoline,,Used,"26,800 km",,,,Jun-22,,PiaggioBeverly 500,"Electric Starter
Topcase",,,,29 kW (39 hp),2003-11-01,459 cc,Immobilizer,Black,2,,"4.6 l/100 km (comb.)
4.6 l/100 km (city)
4.6 l/100 km (country)",,,"€ 2,000.-"
,,Jan-22,,,Naked Bike,,Manual,,Gasoline,,Used,"26,000 km",,,,,,KawasakiZ 1000,Electric Starter,,,Catalytic Converter,103 kW (140 hp),2010-01-01,"1,000 cc",,Silver,,,,,,"€ 5,500.-"
,,,,,Others,,,,Gasoline,,Used,"29,500 km",,,,Jun-21,,DucatiMonster 600,,,,,55 kW (75 hp),2001-02-01,,,Red,,,,,,"€ 2,500.-"
350 kg,,Jun-24,,,Sport touring,Metallic,Manual,2,Gasoline,5,Used,"72,150 km",,,,Jun-22,,Harley-DavidsonStreet Glide,"Cover panel
Crash bar
Electric Starter
Windshield",,Euro 2,,66 kW (90 hp),2006-01-01,"7,690 cc","Alarm system
Immobilizer",Bronze,1,,,Radio,,"€ 13,900.-"
,,Aug-23,,,Naked Bike,Metallic,Manual,,Gasoline,6,Used,"43,000 km",,,,Jul-21,,HondaHornet,,,,,70 kW (95 hp),2000-06-01,600 cc,,Blue,2,,,,,"€ 2,300.-"
183 kg,,New,,,Supersport,,Manual,4,Gasoline,6,Used,"29,000 km",Yes,,,Jun-22,,HondaCBR 900,"Cover panel
Windshield",,,Sport suspension,111 kW (151 hp),2003-05-01,900 cc,Immobilizer,Red,1,,,,,"€ 4,390.-"
160 kg,,Aug-20,,,Scooter,,Automatic,,Gasoline,,Used,"1,118 km",Yes,,,Oct-21,,VespaGTS 300,"Electric Starter
Topcase",,Euro 4,,18 kW (24 hp),2020-08-01,278 cc,ABS,Black,1,,,,74 g/km (comb.),"€ 5,899.-"
,,Jun-23,,,Super Moto,,Manual,1,Gasoline,5,Used,"10,682 km",,,,Apr-22,,LuxxonSupermoto 125,Electric Starter,,,,8 kW (11 hp),2008-08-01,125 cc,,Black,2,,"2.8 l/100 km (comb.)
3 l/100 km (city)
2.5 l/100 km (country)",,,"€ 1,475.-"
,,May-22,,,Scooter,,Automatic,,Gasoline,,Used,"5,397 km",,,,,,KymcoXciting 500i,,,,,28 kW (38 hp),2010-05-01,,ABS,Silver,2,,,,,€ 590.-
,,,,,Chopper/Cruiser,,Manual,2,Gasoline,6,Used,"38,750 km",,,,Jun-21,,Harley-DavidsonDyna Switchback,"Cover panel
Crash bar
Cruise control
Electric Starter
Windshield",,,Catalytic Converter,56 kW (76 hp),2012-07-01,"1,765 cc","ABS
Alarm system
Immobilizer",Black,1,,,,,"€ 10,500.-"
232 kg,Feb-22,Feb-24,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,"35,095 km",Yes,,,Feb-22,,PiaggioX 10,"Electric Starter
Topcase
Windshield",,Euro 5,,30 kW (41 hp),2013-04-01,493 cc,"ABS
Immobilizer",Beige,2,,,,,"€ 3,800.-"
,,,,,Others,,,,Gasoline,,Used,"18,000 km",,,,May-22,,KawasakiZ 1000,,,,,101 kW (137 hp),2011-11-01,,,White,,,,,,"€ 5,700.-"
,,,,,Naked Bike,Metallic,,,Gasoline,,Used,"29,800 km",,,,Mar-21,,HondaCB 600,"Crash bar
Electric Starter",,,,70 kW (95 hp),1998-06-01,,,Silver,,,,,,"€ 2,550.-"
,,Jun-23,,,Naked Bike,Metallic,Manual,2,Gasoline,6,Used,"18,495 km",,,,,,DucatiMonster 1100,"Electric Starter
Windshield",,,Catalytic Converter,70 kW (95 hp),2010-06-01,"1,079 cc",,Red,1,,,,,"€ 7,400.-"
,,Apr-24,,,Others,,,,Gasoline,,Used,"6,050 km",,,,,,KymcoMaxxer 300,,,,,15 kW (20 hp),2012-05-01,,,Black,,,,,,"€ 3,000.-"
138 kg,,,,,Others,,Manual,1,Gasoline,6,Used,"7,000 km",Yes,,,,,YamahaMT-125,,,,,11 kW (15 hp),2016-02-01,124 cc,ABS,Grey,,,,,,"€ 3,500.-"
,,,,,Scooter,,,,Gasoline,,Used,"31,500 km",,,,,,YamahaTMAX 530,,,,,33 kW (45 hp),2015-01-01,,,,,,,,,"€ 7,200.-"
,,,,,Others,,,,Gasoline,,Used,"41,746 km",Yes,,,,,SuzukiGSX 650,"Cover panel
Electric Starter
Topcase",,,,63 kW (86 hp),2015-04-01,,ABS,Black,,,,,,"€ 5,950.-"
213 kg,,,,,Sport touring,,Manual,2,Gasoline,6,Used,"73,300 km",Yes,,,,,SuzukiV-Strom 650,"Crash bar
Electric Starter
Topcase
Windshield",,,,49 kW (67 hp),2004-09-01,645 cc,,Grey,1,,5.5 l/100 km (comb.),MP3,,"€ 3,500.-"
223 kg,,Apr-22,,,Naked Bike,,,,Gasoline,,Used,"32,000 km",Yes,,,Apr-20,,SuzukiGSX 750,,,,,63 kW (86 hp),2002-02-01,750 cc,,Blue,3,,,,,"€ 1,700.-"
,,,,,Naked Bike,,Manual,2,Gasoline,,Used,"61,000 km",,,,,,DucatiMonster 600,,,,,39 kW (53 hp),1999-08-01,583 cc,,Black,2,,,,,"€ 1,000.-"
,,,,,Sport touring,Metallic,Manual,4,Gasoline,6,Used,"60,000 km",,,,,,YamahaFZS 600,"Electric Starter
Windshield",,,,70 kW (95 hp),1998-04-01,598 cc,,Black,,,,,,"€ 1,500.-"
,,,,,Others,,,,Gasoline,,Used,"19,000 km",,,,,,SuzukiGSX-R 1000,,,,,147 kW (200 hp),2008-01-01,,,Black,,,,,,"€ 8,000.-"
,,Jul-23,,,Scooter,,,,Gasoline,,Used,"62,000 km",,,,Jun-22,,YamahaTMAX 500,,,,,32 kW (44 hp),2009-07-01,,,White,,,,,,"€ 4,300.-"
,,,,,Others,,,,Gasoline,,Used,"24,000 km",,,,,,DucatiMonster 696,,,,,54 kW (73 hp),2008-06-01,,,White,,,,,,"€ 3,900.-"
,,Jan-23,,,Naked Bike,,Manual,3,Gasoline,6,Used,"7,000 km",Yes,,,Jul-21,,MV AgustaBrutale 800,,,,,81 kW (110 hp),2019-01-01,800 cc,ABS,Black,,,,,,"€ 11,500.-"
189 kg,,,MV-RH-45,,Others,,,2,Gasoline,,Used,"47,000 km",,Geel,,,,SuzukiV-Strom 650,"Crash bar
Topcase",,,,49 kW (67 hp),2009-07-01,645 cc,,Yellow,,,,,,"€ 5,750.-"
,,Aug-23,,,Others,,,,Gasoline,,Used,"62,000 km",,,,,,YamahaFZR 600,,,,,72 kW (98 hp),1996-06-01,,,White,,,,,,"€ 2,500.-"
189 kg,,,MR-FR-39,,Others,Metallic,,2,Gasoline,,Used,"57,000 km",,Zwart metallic,,,,SuzukiV-Strom 650,"Crash bar
Hot bar end
Topcase",,,,49 kW (67 hp),2006-10-01,645 cc,,Black,,,,,,"€ 4,499.-"
276 kg,,Sep-23,,,Tourer,Metallic,Manual,2,Gasoline,6,Used,"19,400 km",Yes,,,Jun-22,,BMWR 1200 RT,"Cover panel
Cruise control
Electric Starter
Hot bar end
Seat heating
Topcase
Windshield",,,Catalytic Converter,92 kW (125 hp),2019-09-01,"1,170 cc","ABS
Alarm system
Traction control",Black,1,,,"MP3
Radio",,"€ 16,666.-"
,,,,,Sport touring,Metallic,,,Gasoline,,Used,"14,700 km",,,,,,YamahaFZS 600,"Cover panel
Windshield",,,Sport suspension,73 kW (99 hp),2000-08-01,,,Gold,3,,,,,"€ 1,700.-"
,,,,,Others,,,,Gasoline,,Used,"49,500 km",,,,,,KawasakiZZR 1400,,,,,140 kW (190 hp),2007-06-01,,,Black,,,,,,"€ 7,000.-"
170 kg,,Apr-24,,,Touring Enduro,,Manual,1,Gasoline,6,Used,"25,000 km",Yes,,,Jun-22,,BMWG 310 GS,"Crash bar
Electric Starter
Windshield",,,,25 kW (34 hp),2018-06-01,314 cc,"ABS
Alarm system",Black,2,,,,,"€ 3,800.-"
,,,,,Scooter,,Automatic,,Gasoline,,Used,950 km,,,,,,VespaPrimavera,,,,,37 kW (50 hp),2020-06-01,,,Blue,,,,,,"€ 2,500.-"
,,,,,Others,,,,Gasoline,,Used,"49,500 km",,,,,,KawasakiZZR 1400,,,,,140 kW (190 hp),2007-06-01,,,Black,,,,,,"€ 6,900.-"
,,May-22,,,Supersport,,Manual,,Gasoline,,Used,"26,029 km",,,,,,SuzukiGSX-R 600,,,,,92 kW (125 hp),2009-03-01,,,Blue,3,,,,,"€ 5,500.-"
,,,,,Classic,,Manual,,Gasoline,,Used,"50,000 km",,,,,,HondaCX 500,,,,,37 kW (50 hp),1982-03-01,,,Red,,,,,,"€ 2,400.-"
,,,,,Others,,,,Gasoline,,Used,"3,500 km",,,,,,KTM790 Adventure,,,,,35 kW (48 hp),2019-04-01,,,Orange,,,,,,"€ 11,000.-"
,,,,,Touring Enduro,Metallic,Manual,2,Gasoline,6,Used,"11,500 km",,,,Jun-22,,DucatiScrambler,,,,Catalytic Converter,55 kW (75 hp),2017-09-01,800 cc,ABS,Red,,,,,,"€ 6,500.-"
262 kg,,May-24,,,Sport touring,,Manual,4,Gasoline,5,Used,"46,390 km",,,,May-22,,YamahaFJR 1300,,,,,106 kW (144 hp),2006-03-01,"1,300 cc",ABS,Silver,2,,6.5 l/100 km (comb.),,,"€ 5,900.-"
,,,,,Others,,,,Gasoline,,Used,520 km,Yes,,,,,SYMMask 50,"Electric Starter
Topcase",,,Catalytic Converter,33 kW (45 hp),2021-04-01,,ABS,Blue,,,,,,"€ 2,250.-"
301 kg,,Jul-23,,,Quad,,Semi-automatic,1,Gasoline,5,Used,"16,400 km",,,,,,Arctic Cat300,,,,,11 kW (15 hp),2003-03-01,280 cc,,Red,,,,,,"€ 1,500.-"
214 kg,,,,,Sport touring,Metallic,Manual,3,Gasoline,6,Used,"71,000 km",,,,,,TriumphSpeed Triple 1050,"Cover panel
Electric Starter
Windshield",,,Catalytic Converter,99 kW (135 hp),2011-03-01,"1,050 cc",ABS,White,1,,,,,"€ 4,500.-"
,,Jun-23,,,Classic,,,,Gasoline,,Antique / Classic,"2,000 km",Yes,,,May-22,,Moto Guzzi850 Le Mans,,,,,82 kW (111 hp),1982-06-01,,,,,,,,,"€ 22,000.-"
,,,,,Others,,,,Gasoline,,Used,"3,560 km",Yes,,,Aug-21,,BMWR nineT,Crash bar,,,,81 kW (110 hp),2020-07-01,,ABS,White,,,,,,"€ 14,000.-"
,,,,,Others,,,,Gasoline,,Used,700 km,,,,,,BenelliBN 125,,,,,11 kW (15 hp),2022-04-01,,,Green,,,,,,"€ 3,000.-"
,,,,,Others,,,,Gasoline,,Used,156 km,Yes,,,,,HondaCMX 500,Topcase,,,,34 kW (46 hp),2020-07-01,,ABS,Black,,,,,,"€ 6,399.-"
,,,,,Others,,,,Gasoline,,Used,"51,000 km",,,,,,YamahaTMAX 500,,,,,32 kW (44 hp),2008-06-01,,Alarm system,Black,,,,,,"€ 3,700.-"
182 kg,,,,,Naked Bike,,Manual,2,Gasoline,5,Used,"13,600 km",,,,,,Moto GuzziV 7,Electric Starter,,Euro 3,,37 kW (50 hp),2009-02-01,744 cc,,Black,2,,,,,"€ 5,500.-"
,,,,,Others,,,2,Gasoline,,Used,"9,000 km",,,,,,KawasakiVersys 650,"Cover panel
Electric Starter",,,,57 kW (77 hp),2020-06-01,,ABS,Black,1,,,,,"€ 7,200.-"
,,May-24,,,Others,,Manual,1,Gasoline,5,Used,"37,647 km",,,,,,KTM640 LC 4,"Electric Starter
Kickstarter",,,,37 kW (50 hp),2022-04-01,,,Black,4,,,,,"€ 3,333.-"
259 kg,,,,,Tourer,Metallic,Manual,2,Gasoline,6,Used,"83,647 km",Yes,,,,,BMWR 1200 RT,"Cruise control
Electric Starter
Hot bar end
Seat heating
Windshield",,,,81 kW (110 hp),2011-09-01,"1,170 cc","ABS
Traction control",Grey,,,,,,"€ 7,600.-"
,,May-24,,,Sport touring,,Manual,2,Gasoline,6,Used,"26,400 km",,,,Jun-22,,BMWR 1150 RS,"Cover panel
Electric Starter
Hot bar end
Windshield",,,Catalytic Converter,70 kW (95 hp),2002-04-01,"1,130 cc","ABS
Immobilizer",Blue,3,,,,,"€ 3,150.-"
,,May-24,,,Sport touring,,Manual,2,Gasoline,6,Used,"26,400 km",,,,Jun-22,,BMWR 1150 RS,"Cover panel
Electric Starter
Hot bar end
Windshield",,,Catalytic Converter,70 kW (95 hp),2002-04-01,"1,130 cc","ABS
Immobilizer",Blue,3,,,,,"€ 3,150.-"
,,May-24,,,Others,Metallic,,,Gasoline,,Used,"43,000 km",,,,Sep-21,,BMWR 1200 R,"Electric Starter
Hot bar end
Windshield",,,,81 kW (110 hp),2014-05-01,,ABS,Blue,2,,,,,"€ 7,900.-"
,,May-23,,,Others,,Manual,4,Gasoline,5,Used,"2,200 km",,,,Feb-22,,BMWK 1100 LT,,,,,74 kW (101 hp),1997-06-01,"1,100 cc",ABS,Black,,,,,,"€ 6,500.-"
447 kg,,Mar-23,,,Quad,Metallic,Automatic,2,Gasoline,,Used,"2,642 km",,,,,,CF MotoCForce 1000,"Electric Starter
Windshield",,,,62 kW (84 hp),2021-03-01,963 cc,,Orange,1,,,,350 g/km (comb.),"€ 11,500.-"
,,,,,Others,,,,Gasoline,,Used,"18,000 km",,,,,,Harley-DavidsonDyna Super Glide,,,,,11 kW (15 hp),2000-11-01,,,Silver,,,,,,"€ 12,500.-"
,,,,,Others,,,,Gasoline,,Used,"50,000 km",,,,,,YamahaX-Max 400,Topcase,,,,25 kW (34 hp),2016-07-01,,ABS,Black,1,,,,,"€ 3,900.-"
,,Apr-24,,,Naked Bike,,Manual,,Gasoline,,Used,"9,644 km",,,,Jun-22,,YamahaXJ 6,,,,,57 kW (77 hp),2011-05-01,600 cc,ABS,White,,,,,,"€ 4,300.-"
240 kg,,,,12 months,Touring Enduro,Metallic,Manual,2,Gasoline,6,Used,"39,052 km",Yes,,,Jun-22,,BMWR 1200 RT,"Cover panel
Crash bar
Electric Starter
Hot bar end
Topcase
Windshield",,Euro 3,Catalytic Converter,77 kW (105 hp),2007-08-01,"1,170 cc","ABS
Alarm system
Immobilizer",Blue,2,,,,,"€ 6,900.-"
,,,,,Others,,,,Gasoline,,Used,"2,651 km",Yes,,,,,AdlyHurricane 450,,,,,31 kW (42 hp),2019-05-01,,,White,1,,,,,"€ 4,750.-"
,,,,,Others,,,,Gasoline,,Used,"6,017 km",,,,,,YamahaVmax,Electric Starter,,,Catalytic Converter,147 kW (200 hp),2015-04-01,,"ABS
Immobilizer",Black,,,,,,"€ 19,500.-"
,,,,,Sport touring,,,,Gasoline,,Used,"15,447 km",Yes,,,,,Harley-DavidsonRoad Glide,"Cover panel
Crash bar
Cruise control
Electric Starter
Topcase",,,,81 kW (110 hp),2018-04-01,,"ABS
Alarm system
Immobilizer",White,,,,"Bluetooth
Hands-free equipment
MP3
Radio",,"€ 27,500.-"
140 kg,,,,,Naked Bike,Metallic,Manual,,Gasoline,6,Used,"13,800 km",Yes,,,May-22,,YamahaMT-125,"Electric Starter
Windshield",,,Catalytic Converter,11 kW (15 hp),2020-05-01,125 cc,ABS,Orange,,,,,,"€ 3,580.-"
240 kg,,May-23,,,Tourer,,Automatic,2,Gasoline,6,Used,"13,500 km",Yes,,,Jun-22,,HondaNC 750,"Cover panel
Topcase",,,,43 kW (58 hp),2017-05-01,750 cc,ABS,White,1,,,,,"€ 6,500.-"
,,,,,Sport touring,,Manual,,Gasoline,,Used,"19,500 km",Yes,,,,,BMWR 1200 GS Adventure,"Cover panel
Crash bar
Cruise control
Electric Starter
Hot bar end",,,Catalytic Converter,92 kW (125 hp),2019-03-01,,"ABS
Alarm system
Immobilizer
Traction control",Blue,,,,Bluetooth,,"€ 17,500.-"
,,,,,Others,,,,Two Stroke Gasoline,,Used,"14,500 km",,,,,,PiaggioLiberty 50,,,,,3 kW (4 hp),1997-09-01,,,Blue,,,,,,€ 490.-
,,,,,Others,,,,Gasoline,,Used,"21,000 km",,,,,,HondaCBR 1000,,,,,141 kW (192 hp),2017-04-01,,,Black,,,,,,"€ 14,850.-"
,,Sep-22,,,Chopper/Cruiser,Metallic,Manual,,Gasoline,,Used,"7,700 km",Yes,,,,,SuzukiVL 1500,"Electric Starter
Topcase",,,,49 kW (67 hp),2006-09-01,"1,462 cc",,Blue,1,,,,,"€ 7,550.-"
334 kg,,Apr-23,,,Sidecar,,Manual,2,Gasoline,5,Used,"18,300 km",,,,,,UralTourist (Gespann),"Cover panel
Electric Starter
Kickstarter
Windshield",,,,30 kW (41 hp),2003-11-01,750 cc,,Black,,,,,,"€ 6,500.-"
